race_id,driver_id,races_with_pit_data_previous_3,avg_pit_stop_time_previous_3_races,best_pit_stop_time_previous_3_races,worst_pit_stop_time_previous_3_races,total_pit_stops_previous_3_races,avg_total_pit_time_previous_3_races,avg_pit_stop_rank_previous_3_races
2011_11,heidfeld,3,23.266000000000005,21.472,24.716,5,57.51050000000001,11.5
2011_11,trulli,3,28.057166666666667,22.131,51.684,5,72.807,13.0
2011_12,vettel,3,22.361777777777778,19.664,31.558,9,67.08533333333334,13.333333333333334
2011_12,webber,3,20.592155555555557,20.324,25.49,11,72.89166666666667,16.333333333333332
2011_12,button,3,22.044666666666668,20.046,25.07,7,52.166,7.0
2011_12,alonso,3,22.119,19.936,26.566,10,73.53666666666668,16.0
2011_12,michael_schumacher,3,23.407722222222223,19.93,31.751,8,63.220000000000006,13.333333333333334
2011_12,rosberg,3,22.048472222222227,19.939,24.722,9,65.00133333333333,11.666666666666666
2011_12,sutil,3,22.66372222222222,20.589,27.24,9,68.18733333333334,12.333333333333334
2011_12,massa,3,22.115416666666665,20.185,24.159,10,73.59966666666666,17.0
2011_12,petrov,3,22.902833333333334,20.572,25.532,8,61.253666666666675,8.0
2011_12,maldonado,3,22.29733333333333,13.186,26.238,10,73.629,14.333333333333334
2011_12,resta,3,26.29872222222222,20.801,45.291,8,71.19433333333332,13.333333333333334
2011_12,kobayashi,3,24.561888888888888,20.882,31.551,7,56.661,9.0
2011_12,bruno_senna,0,0.0,0.0,0.0,0,0.0,0.0
2011_12,trulli,3,22.923499999999997,22.131,23.327,3,34.288,3.5
2011_12,kovalainen,3,21.81455,20.99,22.772,7,76.6255,14.0
2011_12,barrichello,3,24.71095,20.58,31.539,7,86.1935,14.5
2011_12,ambrosio,3,26.301000000000002,20.762,49.849,8,72.364,14.0
2011_12,glock,3,22.731388888888887,20.613,25.416,7,52.54766666666666,7.0
2011_12,liuzzi,3,24.0034,22.048,27.839,8,64.54566666666666,11.333333333333334
2011_12,perez,3,23.058083333333332,13.201,27.247,8,58.93333333333334,11.333333333333334
2011_12,ricciardo,3,24.093,21.651,26.942,7,55.748,11.0
2011_12,hamilton,3,21.554000000000002,13.173,25.1,12,84.52866666666667,18.333333333333332
2011_12,buemi,3,23.655555555555555,20.36,27.301,7,54.440999999999995,9.333333333333334
2011_12,alguersuari,3,22.775388888888887,21.062,24.719,7,53.065333333333335,5.666666666666667
2011_13,vettel,3,20.537555555555556,19.664,21.411,9,61.61266666666666,11.666666666666666
2011_13,button,3,21.688333333333333,20.046,26.046,7,51.097,8.333333333333334
2011_13,alonso,3,20.93472222222222,19.936,23.208,9,62.94433333333333,11.666666666666666
