race_id,driver_id,driver_position_before_race,driver_points_before_race,driver_wins_before_race,driver_performance_score
2012_05,grosjean,8,23.0,0,23.0
2012_05,kobayashi,12,9.0,0,9.0
2012_05,vettel,1,53.0,1,63.0
2012_05,rosberg,6,35.0,1,45.0
2012_05,hamilton,2,49.0,0,49.0
2012_05,button,5,43.0,1,53.0
2012_05,hulkenberg,15,2.0,0,2.0
2012_05,webber,3,48.0,0,48.0
2012_05,vergne,14,4.0,0,4.0
2012_05,ricciardo,18,2.0,0,2.0
2012_05,resta,10,15.0,0,15.0
2012_05,massa,16,2.0,0,2.0
2012_05,kovalainen,21,0.0,0,0.0
2012_05,petrov,22,0.0,0,0.0
2012_05,glock,19,0.0,0,0.0
2012_05,rosa,24,0.0,0,0.0
2012_05,perez,9,22.0,0,22.0
2012_05,pic,23,0.0,0,0.0
2012_05,karthikeyan,20,0.0,0,0.0
2012_05,bruno_senna,11,14.0,0,14.0
2012_05,michael_schumacher,17,2.0,0,2.0
2012_06,webber,5,48.0,0,48.0
2012_06,rosberg,7,41.0,1,51.0
2012_06,alonso,1,61.0,1,71.0
2012_06,vettel,2,61.0,1,71.0
2012_06,hamilton,3,53.0,0,53.0
2012_06,massa,16,2.0,0,2.0
2012_06,resta,12,15.0,0,15.0
2012_06,hulkenberg,15,3.0,0,3.0
2012_06,raikkonen,4,49.0,0,49.0
2012_06,bruno_senna,13,14.0,0,14.0
2012_06,perez,10,22.0,0,22.0
2012_06,vergne,14,4.0,0,4.0
2012_06,kovalainen,21,0.0,0,0.0
2012_06,glock,19,0.0,0,0.0
2012_06,karthikeyan,20,0.0,0,0.0
2012_06,button,6,45.0,1,55.0
2012_06,ricciardo,18,2.0,0,2.0
2012_06,pic,23,0.0,0,0.0
2012_06,michael_schumacher,17,2.0,0,2.0
2012_06,petrov,22,0.0,0,0.0
2012_06,kobayashi,11,19.0,0,19.0
2012_06,rosa,24,0.0,0,0.0
2012_06,maldonado,9,29.0,1,39.0
2012_06,grosjean,8,35.0,0,35.0
2012_07,hamilton,4,63.0,0,63.0
2012_07,grosjean,8,35.0,0,35.0
2012_07,perez,10,22.0,0,22.0
2012_07,vettel,2,73.0,1,83.0
2012_07,alonso,1,76.0,1,86.0
2012_07,rosberg,5,59.0,1,69.0
2012_07,webber,3,73.0,1,83.0
2012_07,raikkonen,6,51.0,0,51.0
